id	url	match_date_title	team_1	team_2	total_score	shoots_in_target_1	shoots_in_target_2	falls_1	falls_2	corners_1	corners_2	off_side_1	off_side_2	possession_1	possession_2	free_kicks_1	free_kicks_2	shots_from_gate_1	shots_from_gate_2	blocked_shots_1	blocked_shots_2	outs_1	outs_2	yellow_cards_1	yellow_cards_2	red_cards_1	red_cards_2
1037769	https://www.championat.com/football/_england/tournament/5025/match/1037769/	26 апреля 2023, среда. 22:00 МСК	Манчестер Сити	Арсенал	4 : 1	14	8	13	13	1	3	0	1	52	48	14	13	9	6	2	3	13	13	3	1	0	0
1037209	https://www.championat.com/football/_england/tournament/5025/match/1037209/	31 августа 2022, среда. 21:30 МСК	Манчестер Сити	Ноттингем Форест	6 : 0	17	8	9	7	10	1	2	2	75	25	9	11	4	9	2	3	15	10	0	1	0	0
1037419	https://www.championat.com/football/_england/tournament/5025/match/1037419/	12 ноября 2022, суббота. 15:30 МСК	Манчестер Сити	Брентфорд	1 : 2	28	10	9	7	10	2	2	2	75	25	9	11	3	16	13	1	17	7	2	2	0	0
1037471	https://www.championat.com/football/_england/tournament/5025/match/1037471/	03 января 2023, вторник. 22:45 МСК	Арсенал	Ньюкасл Юнайтед	0 : 0	17	8	10	16	5	5	1	4	67	33	20	11	5	12	6	2	13	11	4	5	0	0
1037143	https://www.championat.com/football/_england/tournament/5025/match/1037143/	13 августа 2022, суббота. 17:00 МСК	Манчестер Сити	Борнмут	4 : 0	18	2	9	8	11	1	2	1	67	33	9	11	1	14	4	0	12	8	0	3	0	0
1037399	https://www.championat.com/football/_england/tournament/5025/match/1037399/	05 ноября 2022, суббота. 18:00 МСК	Манчестер Сити	Фулхэм	2 : 1	16	4	6	11	9	0	3	0	71	29	11	9	2	8	6	1	22	11	2	4	1	0
1037513	https://www.championat.com/football/_england/tournament/5025/match/1037513/	22 января 2023, воскресенье. 19:30 МСК	Арсенал	Манчестер Юнайтед	3 : 2	22	6	8	9	12	4	1	4	58	42	13	9	2	6	10	2	11	15	1	2	0	0
1037183	https://www.championat.com/football/_england/tournament/5025/match/1037183/	27 августа 2022, суббота. 17:00 МСК	Манчестер Сити	Кристал Пэлас	4 : 2	18	2	14	8	6	1	2	1	75	25	9	16	2	11	5	0	18	10	1	2	0	0
1037525	https://www.championat.com/football/_england/tournament/5025/match/1037525/	22 января 2023, воскресенье. 17:00 МСК	Манчестер Сити	Вулверхэмптон	3 : 0	13	7	10	10	5	7	1	0	56	44	10	11	3	11	1	3	12	13	1	2	0	0
1037719	https://www.championat.com/football/_england/tournament/5025/match/1037719/	15 апреля 2023, суббота. 19:30 МСК	Манчестер Сити	Лестер Сити	3 : 1	11	10	8	9	6	2	0	3	71	29	12	8	5	6	3	3	18	15	1	1	0	0
1037565	https://www.championat.com/football/_england/tournament/5025/match/1037565/	12 февраля 2023, воскресенье. 19:30 МСК	Манчестер Сити	Астон Вилла	3 : 1	17	6	13	14	8	4	1	4	67	33	18	14	2	8	5	2	13	11	1	2	0	0
1037799	https://www.championat.com/football/_england/tournament/5025/match/1037799/	06 мая 2023, суббота. 17:00 МСК	Манчестер Сити	Лидс Юнайтед	2 : 1	18	4	3	16	10	1	4	3	81	19	19	7	3	15	2	1	12	10	0	3	0	0
1037359	https://www.championat.com/football/_england/tournament/5025/match/1037359/	22 октября 2022, суббота. 17:00 МСК	Манчестер Сити	Брайтон энд Хоув Альбион	3 : 1	10	9	11	12	6	3	0	4	48	52	16	11	9	9	3	3	9	22	1	3	0	0
1037663	https://www.championat.com/football/_england/tournament/5025/match/1037663/	03 мая 2023, среда. 22:00 МСК	Манчестер Сити	Вест Хэм Юнайтед	3 : 0	16	6	8	8	6	3	1	0	69	31	8	9	2	12	2	1	15	12	0	1	0	0
1037245	https://www.championat.com/football/_england/tournament/5025/match/1037245/	19 января 2023, четверг. 23:00 МСК	Манчестер Сити	Тоттенхэм Хотспур	4 : 2	16	9	10	14	8	3	0	1	58	42	15	10	4	8	5	2	22	16	1	2	0	0
1037285	https://www.championat.com/football/_england/tournament/5025/match/1037285/	02 октября 2022, воскресенье. 16:00 МСК	Манчестер Сити	Манчестер Юнайтед	6 : 3	21	11	3	9	5	1	1	0	54	46	9	4	9	8	6	1	11	17	0	3	0	0
1037623	https://www.championat.com/football/_england/tournament/5025/match/1037623/	04 марта 2023, суббота. 15:30 МСК	Манчестер Сити	Ньюкасл Юнайтед	2 : 0	11	5	8	13	8	4	0	1	57	43	14	8	4	8	2	2	17	17	2	4	0	0
1037293	https://www.championat.com/football/_england/tournament/5025/match/1037293/	09 октября 2022, воскресенье. 18:30 МСК	Арсенал	Ливерпуль	3 : 2	11	8	11	11	4	3	3	6	44	56	17	14	4	3	3	3	14	29	1	2	0	0
1037683	https://www.championat.com/football/_england/tournament/5025/match/1037683/	01 апреля 2023, суббота. 14:30 МСК	Манчестер Сити	Ливерпуль	4 : 1	17	5	9	12	7	1	3	5	69	31	17	12	2	4	5	4	15	5	1	1	0	0
1037811	https://www.championat.com/football/_england/tournament/5025/match/1037811/	14 мая 2023, воскресенье. 18:30 МСК	Арсенал	Брайтон энд Хоув Альбион	0 : 3	14	12	13	17	5	2	1	4	41	59	21	14	5	9	5	1	10	15	1	2	0	0
1037459	https://www.championat.com/football/_england/tournament/5025/match/1037459/	31 декабря 2022, суббота. 18:00 МСК	Манчестер Сити	Эвертон	1 : 1	13	2	13	14	7	1	3	2	74	26	16	16	1	6	6	1	25	9	3	4	0	0
1037839	https://www.championat.com/football/_england/tournament/5025/match/1037839/	21 мая 2023, воскресенье. 18:00 МСК	Манчестер Сити	Челси	1 : 0	15	12	12	9	5	2	2	2	65	35	11	14	5	8	6	3	15	11	0	2	0	0
1037273	https://www.championat.com/football/_england/tournament/5025/match/1037273/	01 октября 2022, суббота. 14:30 МСК	Арсенал	Тоттенхэм Хотспур	3 : 1	22	7	10	10	5	2	1	3	65	35	13	11	3	12	4	2	17	17	2	1	0	1
1037193	https://www.championat.com/football/_england/tournament/5025/match/1037193/	31 августа 2022, среда. 21:30 МСК	Арсенал	Астон Вилла	2 : 1	22	5	10	14	10	3	1	1	60	40	15	11	5	12	9	0	15	13	2	3	0	0
1037171	https://www.championat.com/football/_england/tournament/5025/match/1037171/	27 августа 2022, суббота. 19:30 МСК	Арсенал	Фулхэм	2 : 1	22	11	6	12	9	2	1	0	72	28	12	7	9	11	10	2	17	18	2	3	0	0
1037773	https://www.championat.com/football/_england/tournament/5025/match/1037773/	02 мая 2023, вторник. 22:00 МСК	Арсенал	Челси	3 : 1	16	7	10	10	7	2	1	0	55	45	10	11	5	6	4	2	10	10	0	2	0	0
1037553	https://www.championat.com/football/_england/tournament/5025/match/1037553/	11 февраля 2023, суббота. 18:00 МСК	Арсенал	Брентфорд	1 : 1	21	8	9	9	7	4	1	1	69	31	10	10	8	11	7	2	17	12	0	2	0	0
1037851	https://www.championat.com/football/_england/tournament/5025/match/1037851/	28 мая 2023, воскресенье. 18:30 МСК	Арсенал	Вулверхэмптон	5 : 0	15	7	8	11	8	4	1	0	51	49	11	9	5	5	3	3	12	13	0	0	0	0
1037431	https://www.championat.com/football/_england/tournament/5025/match/1037431/	26 декабря 2022, понедельник. 23:00 МСК	Арсенал	Вест Хэм Юнайтед	3 : 1	16	8	14	16	7	5	3	0	68	32	16	17	5	7	5	0	9	15	0	2	0	0
1037131	https://www.championat.com/football/_england/tournament/5025/match/1037131/	13 августа 2022, суббота. 17:00 МСК	Арсенал	Лестер Сити	4 : 2	18	6	15	9	6	2	2	3	50	50	12	17	3	11	4	1	15	14	1	1	0	0
1037673	https://www.championat.com/football/_england/tournament/5025/match/1037673/	01 апреля 2023, суббота. 17:00 МСК	Арсенал	Лидс Юнайтед	4 : 1	13	7	11	13	4	3	5	1	67	33	14	16	4	5	5	1	14	20	0	2	0	0
1037651	https://www.championat.com/football/_england/tournament/5025/match/1037651/	19 марта 2023, воскресенье. 17:00 МСК	Арсенал	Кристал Пэлас	4 : 1	15	8	8	10	5	4	2	2	62	38	12	10	3	11	5	3	13	15	0	1	0	0
1037233	https://www.championat.com/football/_england/tournament/5025/match/1037233/	01 марта 2023, среда. 22:45 МСК	Арсенал	Эвертон	4 : 0	15	8	5	12	5	1	4	2	73	27	14	9	5	12	5	1	22	11	0	2	0	0
1037373	https://www.championat.com/football/_england/tournament/5025/match/1037373/	30 октября 2022, воскресенье. 17:00 МСК	Арсенал	Ноттингем Форест	5 : 0	24	6	9	8	9	4	1	2	69	31	10	10	4	11	10	1	19	13	0	1	0	0
1037221	https://www.championat.com/football/_england/tournament/5025/match/1037221/	04 сентября 2022, воскресенье. 18:30 МСК	Манчестер Юнайтед	Арсенал	3 : 1	8	17	13	9	2	5	4	0	40	60	9	17	11	3	0	6	16	18	3	3	0	0
1037611	https://www.championat.com/football/_england/tournament/5025/match/1037611/	04 марта 2023, суббота. 18:00 МСК	Арсенал	Борнмут	3 : 2	32	4	6	8	17	1	0	0	81	19	8	6	1	15	13	0	10	12	0	2	0	0
1037747	https://www.championat.com/football/_england/tournament/5025/match/1037747/	25 мая 2023, четверг. 22:00 МСК	Манчестер Юнайтед	Челси	4 : 1	18	14	12	6	3	4	0	0	40	60	6	12	9	4	5	4	15	10	1	1	0	0
1037787	https://www.championat.com/football/_england/tournament/5025/match/1037787/	30 апреля 2023, воскресенье. 16:00 МСК	Манчестер Юнайтед	Астон Вилла	1 : 0	14	7	16	7	1	4	7	3	57	43	10	23	4	7	2	4	28	21	2	0	0	0
1037541	https://www.championat.com/football/_england/tournament/5025/match/1037541/	04 февраля 2023, суббота. 18:00 МСК	Манчестер Юнайтед	Кристал Пэлас	2 : 1	13	9	9	9	5	5	1	4	54	46	13	10	4	6	4	2	20	26	1	2	1	0
1037163	https://www.championat.com/football/_england/tournament/5025/match/1037163/	22 августа 2022, понедельник. 22:00 МСК	Манчестер Юнайтед	Ливерпуль	2 : 1	12	17	11	7	6	8	2	2	30	70	9	13	16	4	4	6	15	28	3	1	0	0
1037323	https://www.championat.com/football/_england/tournament/5025/match/1037323/	16 октября 2022, воскресенье. 16:00 МСК	Манчестер Юнайтед	Ньюкасл Юнайтед	0 : 0	15	9	13	11	4	4	2	0	63	37	11	15	8	11	5	2	14	15	3	1	0	0
1037127	https://www.championat.com/football/_england/tournament/5025/match/1037127/	07 августа 2022, воскресенье. 16:00 МСК	Манчестер Юнайтед	Брайтон энд Хоув Альбион	1 : 2	17	16	7	12	6	2	3	1	63	37	13	10	12	11	7	6	20	22	4	1	0	0
1037603	https://www.championat.com/football/_england/tournament/5025/match/1037603/	05 апреля 2023, среда. 22:00 МСК	Манчестер Юнайтед	Брентфорд	1 : 0	18	6	8	13	12	3	3	1	65	35	14	11	9	10	6	1	12	11	3	2	0	0
1037349	https://www.championat.com/football/_england/tournament/5025/match/1037349/	19 октября 2022, среда. 22:15 МСК	Манчестер Юнайтед	Тоттенхэм Хотспур	2 : 0	25	7	7	7	8	3	4	0	51	49	7	11	6	12	7	2	16	17	1	0	0	0
1037387	https://www.championat.com/football/_england/tournament/5025/match/1037387/	30 октября 2022, воскресенье. 19:15 МСК	Манчестер Юнайтед	Вест Хэм Юнайтед	1 : 0	16	13	12	10	5	10	1	2	53	47	12	13	8	6	6	7	13	19	1	3	0	0
1037867	https://www.championat.com/football/_england/tournament/5025/match/1037867/	28 мая 2023, воскресенье. 18:30 МСК	Манчестер Юнайтед	Фулхэм	2 : 1	21	10	14	10	5	4	1	1	54	46	11	15	9	9	6	0	8	13	1	2	0	0
1037487	https://www.championat.com/football/_england/tournament/5025/match/1037487/	03 января 2023, вторник. 23:00 МСК	Манчестер Юнайтед	Борнмут	3 : 0	18	7	13	7	6	5	0	2	59	41	9	13	3	7	6	1	12	10	0	3	0	0
1037827	https://www.championat.com/football/_england/tournament/5025/match/1037827/	13 мая 2023, суббота. 17:00 МСК	Манчестер Юнайтед	Вулверхэмптон	2 : 0	26	5	9	9	11	7	0	1	48	52	10	9	7	13	7	0	17	21	3	2	0	0
1037447	https://www.championat.com/football/_england/tournament/5025/match/1037447/	27 декабря 2022, вторник. 23:00 МСК	Манчестер Юнайтед	Ноттингем Форест	3 : 0	17	8	13	4	9	9	1	2	66	34	6	14	5	7	6	2	15	23	3	1	0	0
1037581	https://www.championat.com/football/_england/tournament/5025/match/1037581/	19 февраля 2023, воскресенье. 17:00 МСК	Манчестер Юнайтед	Лестер Сити	3 : 0	25	19	9	9	6	6	0	1	57	43	10	9	7	10	8	7	17	15	0	2	0	0
1037703	https://www.championat.com/football/_england/tournament/5025/match/1037703/	08 апреля 2023, суббота. 14:30 МСК	Манчестер Юнайтед	Эвертон	2 : 0	29	15	10	9	10	4	3	2	64	36	11	13	5	9	8	9	20	16	0	0	0	0
1037389	https://www.championat.com/football/_england/tournament/5025/match/1037389/	29 октября 2022, суббота. 17:00 МСК	Ньюкасл Юнайтед	Астон Вилла	4 : 0	20	3	11	11	3	0	2	3	60	40	14	13	1	9	3	3	24	21	1	1	0	0
1037305	https://www.championat.com/football/_england/tournament/5025/match/1037305/	08 октября 2022, суббота. 17:00 МСК	Ньюкасл Юнайтед	Брентфорд	5 : 1	15	7	14	9	9	5	1	3	53	47	12	15	5	7	6	3	18	14	0	1	0	0
1037261	https://www.championat.com/football/_england/tournament/5025/match/1037261/	08 февраля 2023, среда. 23:00 МСК	Манчестер Юнайтед	Лидс Юнайтед	2 : 2	24	5	7	11	6	5	1	0	66	34	11	8	4	15	10	1	30	14	1	3	0	0
1037503	https://www.championat.com/football/_england/tournament/5025/match/1037503/	15 января 2023, воскресенье. 17:00 МСК	Ньюкасл Юнайтед	Фулхэм	1 : 0	21	4	6	14	10	5	2	3	63	37	17	8	4	11	9	1	19	19	1	3	0	0
1037605	https://www.championat.com/football/_england/tournament/5025/match/1037605/	18 мая 2023, четверг. 21:30 МСК	Ньюкасл Юнайтед	Брайтон энд Хоув Альбион	4 : 1	22	7	17	16	6	1	1	2	34	66	18	18	4	9	8	2	23	20	2	4	0	0
1037685	https://www.championat.com/football/_england/tournament/5025/match/1037685/	02 апреля 2023, воскресенье. 18:30 МСК	Ньюкасл Юнайтед	Манчестер Юнайтед	2 : 0	22	6	8	12	7	4	1	0	46	54	12	9	7	13	7	2	26	19	0	0	0	0
1037421	https://www.championat.com/football/_england/tournament/5025/match/1037421/	12 ноября 2022, суббота. 20:30 МСК	Ньюкасл Юнайтед	Челси	1 : 0	10	5	14	11	5	3	3	0	49	51	11	17	7	6	4	1	22	21	5	2	0	0
1037583	https://www.championat.com/football/_england/tournament/5025/match/1037583/	18 февраля 2023, суббота. 20:30 МСК	Ньюкасл Юнайтед	Ливерпуль	0 : 2	14	13	3	8	6	7	3	0	37	63	8	6	6	8	3	3	15	14	1	1	1	0
1037345	https://www.championat.com/football/_england/tournament/5025/match/1037345/	19 октября 2022, среда. 21:30 МСК	Ньюкасл Юнайтед	Эвертон	1 : 0	16	1	9	12	8	2	0	3	49	51	15	9	1	12	3	0	19	30	2	4	0	0
1037121	https://www.championat.com/football/_england/tournament/5025/match/1037121/	06 августа 2022, суббота. 17:00 МСК	Ньюкасл Юнайтед	Ноттингем Форест	2 : 0	23	5	9	14	11	1	2	0	62	38	14	11	2	11	6	2	19	24	0	3	0	0
1037223	https://www.championat.com/football/_england/tournament/5025/match/1037223/	03 сентября 2022, суббота. 17:00 МСК	Ньюкасл Юнайтед	Кристал Пэлас	0 : 0	24	19	19	12	13	5	2	1	52	48	13	21	4	11	11	6	16	18	2	2	0	0
1037801	https://www.championat.com/football/_england/tournament/5025/match/1037801/	07 мая 2023, воскресенье. 18:30 МСК	Ньюкасл Юнайтед	Арсенал	0 : 2	14	10	16	12	9	4	0	1	54	46	13	16	6	6	4	2	26	17	2	1	0	0
1037263	https://www.championat.com/football/_england/tournament/5025/match/1037263/	17 сентября 2022, суббота. 17:00 МСК	Ньюкасл Юнайтед	Борнмут	1 : 1	20	10	10	11	8	1	3	1	73	27	12	13	6	11	5	2	26	14	2	2	0	0
1037645	https://www.championat.com/football/_england/tournament/5025/match/1037645/	12 марта 2023, воскресенье. 19:30 МСК	Ньюкасл Юнайтед	Вулверхэмптон	2 : 1	19	7	11	10	10	3	0	0	42	58	10	11	7	7	8	0	23	14	1	2	0	0
1037543	https://www.championat.com/football/_england/tournament/5025/match/1037543/	04 февраля 2023, суббота. 20:30 МСК	Ньюкасл Юнайтед	Вест Хэм Юнайтед	1 : 1	7	11	11	13	4	2	0	2	63	37	15	11	7	8	3	5	19	17	2	1	0	0
1037749	https://www.championat.com/football/_england/tournament/5025/match/1037749/	23 апреля 2023, воскресенье. 16:00 МСК	Ньюкасл Юнайтед	Тоттенхэм Хотспур	6 : 1	25	11	7	13	9	3	2	0	58	42	13	9	8	5	12	3	11	21	0	3	0	0
1037461	https://www.championat.com/football/_england/tournament/5025/match/1037461/	31 декабря 2022, суббота. 18:00 МСК	Ньюкасл Юнайтед	Лидс Юнайтед	0 : 0	16	8	13	19	9	3	4	0	59	41	19	17	4	11	2	4	35	17	3	5	0	0
1037701	https://www.championat.com/football/_england/tournament/5025/match/1037701/	09 апреля 2023, воскресенье. 18:30 МСК	Ливерпуль	Арсенал	2 : 2	21	9	11	11	5	4	2	2	59	41	13	13	7	11	5	2	13	13	4	4	0	0
1037841	https://www.championat.com/football/_england/tournament/5025/match/1037841/	22 мая 2023, понедельник. 22:00 МСК	Ньюкасл Юнайтед	Лестер Сити	0 : 0	23	1	9	5	12	1	1	0	77	23	5	10	1	18	6	0	19	11	2	0	0	0
1037207	https://www.championat.com/football/_england/tournament/5025/match/1037207/	31 августа 2022, среда. 22:00 МСК	Ливерпуль	Ньюкасл Юнайтед	2 : 1	23	5	9	10	13	0	2	2	72	28	12	11	6	9	8	0	24	12	0	2	0	0
1037621	https://www.championat.com/football/_england/tournament/5025/match/1037621/	05 марта 2023, воскресенье. 19:30 МСК	Ливерпуль	Манчестер Юнайтед	7 : 0	18	8	13	14	4	3	0	4	60	40	18	13	8	10	5	1	20	22	2	3	0	0
1037283	https://www.championat.com/football/_england/tournament/5025/match/1037283/	01 октября 2022, суббота. 17:00 МСК	Ливерпуль	Брайтон энд Хоув Альбион	3 : 3	15	6	9	13	9	2	1	0	54	46	13	10	1	11	4	0	25	14	1	1	0	0
1037837	https://www.championat.com/football/_england/tournament/5025/match/1037837/	20 мая 2023, суббота. 17:00 МСК	Ливерпуль	Астон Вилла	1 : 1	10	6	16	13	9	3	4	1	66	34	14	20	3	8	4	1	23	18	3	5	0	0
1037141	https://www.championat.com/football/_england/tournament/5025/match/1037141/	15 августа 2022, понедельник. 22:00 МСК	Ливерпуль	Кристал Пэлас	1 : 1	23	6	7	8	4	2	3	2	72	28	10	10	5	16	9	0	27	18	2	4	1	0
1037347	https://www.championat.com/football/_england/tournament/5025/match/1037347/	19 октября 2022, среда. 21:30 МСК	Ливерпуль	Вест Хэм Юнайтед	1 : 0	22	8	9	8	8	3	1	0	53	47	8	10	6	9	7	1	21	21	0	0	0	0
1037523	https://www.championat.com/football/_england/tournament/5025/match/1037523/	21 января 2023, суббота. 15:30 МСК	Ливерпуль	Челси	0 : 0	11	11	16	9	5	5	5	1	48	52	10	21	12	9	3	3	19	18	3	1	0	0
1037661	https://www.championat.com/football/_england/tournament/5025/match/1037661/	03 мая 2023, среда. 22:00 МСК	Ливерпуль	Фулхэм	1 : 0	15	9	10	8	7	5	3	2	58	42	10	13	6	12	3	3	18	11	0	0	0	0
1037797	https://www.championat.com/football/_england/tournament/5025/match/1037797/	06 мая 2023, суббота. 19:30 МСК	Ливерпуль	Брентфорд	1 : 0	14	4	19	10	7	3	1	2	54	46	12	20	10	6	4	1	18	14	4	2	0	0
1037181	https://www.championat.com/football/_england/tournament/5025/match/1037181/	27 августа 2022, суббота. 17:00 МСК	Ливерпуль	Борнмут	9 : 0	19	5	6	5	8	1	3	0	71	29	5	9	3	11	1	1	19	20	0	1	0	0
1037785	https://www.championat.com/football/_england/tournament/5025/match/1037785/	30 апреля 2023, воскресенье. 18:30 МСК	Ливерпуль	Тоттенхэм Хотспур	4 : 3	12	10	12	6	4	2	0	5	69	31	11	12	4	7	4	0	22	16	3	2	0	0
1037243	https://www.championat.com/football/_england/tournament/5025/match/1037243/	01 марта 2023, среда. 23:00 МСК	Ливерпуль	Вулверхэмптон	2 : 0	14	4	13	14	5	2	1	3	57	43	17	14	3	7	3	1	27	22	2	3	0	0
1037453	https://www.championat.com/football/_england/tournament/5025/match/1037453/	31 декабря 2022, суббота. 20:30 МСК	Брайтон энд Хоув Альбион	Арсенал	2 : 4	9	14	7	11	7	4	5	0	68	32	11	12	5	8	2	4	26	13	3	3	0	0
1037137	https://www.championat.com/football/_england/tournament/5025/match/1037137/	13 августа 2022, суббота. 17:00 МСК	Брайтон энд Хоув Альбион	Ньюкасл Юнайтед	0 : 0	13	5	8	6	7	3	1	4	55	45	10	9	6	9	5	1	20	23	2	3	0	0
